License No.,Trade Name A,Trade Name E,License Status A,Issue Date,Expire Date,Address,Person Legal Type A,Person Serial No.,Person Name A,Partner Status A,Partner Add Date,Partner Cancel Date,Emirates ID,Nationality A,Mobile,Activity Master Group A,Activity Category A,Activity Consist Group A,Activity Code ISIC4,Activity A
890540,الريف للتجارة,AL REEF TRADING,ساري,15/03/2023,14/03/2026,محل رقم 5 بناية قصر المدينة - شارع الخليج - ديرة - دبي,مالك مؤسسة,73845,أحمد محمد السيد,فعال,15/03/2023,-,784-1985-2647193-5,الإمارات,971501234567,تجارة,خدمات شخصية و تجميلية,انشطة تجارية للمنتجات المختلفة,4719005,تموين المحلات والمؤسسات
890541,النجم الأزرق للإلكترونيات,BLUE STAR ELECTRONICS,ساري,22/06/2023,21/06/2026,مكتب رقم 304 بناية الشرق - شارع الشيخ زايد - بر دبي,وكيل خدمات,15639,سعيد خالد العلي,فعال,22/06/2023,-,784-1979-5321874-2,الإمارات,971502345678,تقنية,تكنولوجيا المعلومات,انشطة تجارية للمنتجات المختلفة,4741001,تجارة أجهزة الحاسب الآلي
890542,الفجر للاستشارات,AL FAJR CONSULTANCY,ساري,08/09/2023,07/09/2026,مكتب رقم 1205 برج المروج - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,42587,عبدالله سعيد المرزوقي,شريك,08/09/2023,-,784-1975-1234567-8,الإمارات,971503456789,استشارات,خدمات استشارية,الاستشارات الإدارية,7020001,استشارات إدارية
890543,سما للمقاولات,SAMA CONTRACTING,منتهية,12/11/2020,11/11/2023,محل رقم 17 بناية البستان - شارع الاتحاد - دبي,وكيل خدمات,28735,خالد محمد العبدولي,فعال,12/11/2020,-,784-1970-9876543-2,الإمارات,971505678901,مقاولات,مقاولات و تطوير و معدات البناء,مقاولات البناء,4100001,مقاولات البناء
890544,المركز العالمي للسياحة,INTERNATIONAL TOURISM CENTER,ساري,05/01/2024,04/01/2027,مكتب رقم 507 برج الخور - شارع بني ياس - ديرة,مؤسسة فردية,63215,مريم سالم النعيمي,فعال,05/01/2024,-,784-1988-2345678-1,الإمارات,971506789012,سياحة,خدمات سياحية,وكالات السفر,7911001,خدمات وكالات السفر
890545,الدانة للأزياء,AL DANA FASHION,ملغاه,17/02/2022,16/02/2025,محل رقم 23 مركز المدينة - شارع الفلاح - دبي,شركة تضامنية,51478,نورة علي السويدي,شريك,17/02/2022,30/06/2023,784-1990-3456789-0,الإمارات,971507890123,تجارة,تجارة المنسوجات والملابس,تجارة الملابس,4771101,تجارة الملابس الجاهزة
890546,الياسمين للعطور,AL YASMIN PERFUMES,ساري,21/03/2024,20/03/2027,محل رقم 8 سوق التنين - الورسان - دبي,مؤسسة فردية,41782,عبدالرحمن حسن الحمادي,فعال,21/03/2024,-,784-1980-4567890-3,الإمارات,971509012345,تجارة,تجارة التجميل والعطور,تجارة العطور,4772004,تجارة العطور ومستحضرات التجميل
890547,الخليج للشحن,GULF SHIPPING,منتهية,09/04/2021,08/04/2024,مكتب رقم 405 بناية الخليج - شارع المينا - دبي,وكيل خدمات,37694,سلطان أحمد النعيمي,فعال,09/04/2021,-,784-1978-5678901-4,الإمارات,971550123456,نقل,النقل والشحن,خدمات الشحن,5229001,خدمات الشحن والتفريغ
890548,النور للتعليم,AL NOOR EDUCATION,ساري,14/05/2024,13/05/2027,مبنى مستقل - منطقة القوز التعليمية - دبي,شركة ذات مسؤولية محدودة,25647,محمد جاسم البلوشي,شريك,14/05/2024,-,784-1976-6789012-5,الإمارات,971551234567,تعليم,خدمات تعليمية,التدريب,8549011,مركز تدريب وتنمية مهارات
890549,وادي السيليكون للتكنولوجيا,SILICON VALLEY TECHNOLOGY,ملغاه,28/08/2021,27/08/2024,مكتب رقم 1507 برج الإمارات - شارع الشيخ زايد - دبي,مؤسسة منطقة حرة,92376,راشد سعيد الكتبي,فعال,28/08/2021,15/12/2023,784-1983-8901234-7,الإمارات,971553456789,تقنية,تكنولوجيا المعلومات,برمجة الحاسب الآلي,6201001,البرمجة الحاسوبية
890550,الصفا للعقارات,AL SAFA REAL ESTATE,ساري,02/06/2023,01/06/2026,مكتب رقم 710 برج الرمال - شارع الشيخ زايد - دبي,شركة الشخص الواحد,48769,خالد عبدالله القاسمي,فعال,02/06/2023,-,784-1972-9012345-8,الإمارات,971554567890,عقارات,خدمات عقارية,الوساطة العقارية,6820001,الوساطة في بيع العقارات وشرائها
890561,النخبة للتكنولوجيا المتطورة,ELITE ADVANCED TECHNOLOGY,ساري,03/01/2023,02/01/2026,مكتب رقم 1705 برج الابتكار - منطقة دبي للتكنولوجيا - دبي,شركة ذات مسؤولية محدودة,56789,عمار سعيد الكتبي,شريك,03/01/2023,-,784-1984-7654321-0,الإمارات,971561234567,تقنية,تكنولوجيا المعلومات,أنظمة الذكاء الاصطناعي,6209001,تطوير أنظمة الذكاء الاصطناعي
890562,الجزيرة للطباعة,AL JAZEERA PRINTING,منتهية,15/07/2021,14/07/2024,محل رقم 12 مجمع الصناعات - القوز الصناعية - دبي,مؤسسة فردية,32456,سلطان راشد المنصوري,فعال,15/07/2021,-,784-1977-0987654-3,الإمارات,971562345678,صناعة,الطباعة والنشر,خدمات الطباعة,1811001,خدمات طباعة تجارية
890563,روضة الأمل,AL AMAL KINDERGARTEN,ساري,22/08/2023,21/08/2026,مبنى مستقل - منطقة النهدة السكنية - دبي,شركة ذات مسؤولية محدودة,45781,فاطمة أحمد الشحي,شريك,22/08/2023,-,784-1986-1234567-5,الإمارات,971563456789,تعليم,خدمات تعليمية,روضة أطفال,8510002,روضة أطفال
890564,البرج للاستشارات الهندسية,AL BURJ ENGINEERING CONSULTANCY,ملغاه,04/04/2022,03/04/2025,مكتب رقم 1405 برج الشعلة - شارع الشيخ زايد - دبي,شركة مهنية,28956,م. خالد محمد العامري,شريك,04/04/2022,20/09/2023,784-1973-2345678-7,الإمارات,971564567890,هندسة,خدمات هندسية,استشارات هندسية,7110001,استشارات هندسية
890565,الصحراء للتصميم,DESERT DESIGN,ساري,11/05/2023,10/05/2026,مكتب رقم 805 برج الفنون - شارع الشيخ زايد - دبي,مؤسسة فردية,62371,عائشة محمد البلوشي,فعال,11/05/2023,-,784-1989-3456789-4,الإمارات,971565678901,تصميم,فنون وتصميم,تصميم داخلي,7410001,تصميم داخلي وديكور
890566,المدينة لتأجير السيارات,CITY CAR RENTAL,منتهية,25/06/2021,24/06/2024,محل رقم 23 شارع المطار - القرهود - دبي,وكيل خدمات,37845,سعيد راشد الهاملي,فعال,25/06/2021,-,784-1974-7654321-9,الإمارات,971566789012,نقل,تأجير المركبات,تأجير السيارات,7710001,تأجير السيارات
890567,الوردة للتجميل,ROSE BEAUTY SALON,ساري,17/07/2023,16/07/2026,محل رقم 15 مركز جميرا - شارع الوصل - دبي,مؤسسة فردية,59273,هند علي الحمادي,فعال,17/07/2023,-,784-1988-8765432-1,الإمارات,971567890123,تجميل,خدمات شخصية و تجميلية,صالون تجميل نسائي,9602201,صالون نسائي
