Transaction_ID,Property_ID,Investor_ID,Buyer_Type,Party_Type,Gender,Nationality,Transaction_Type,Property_Type,Property_Subtype,Area,Size_sqm,Price_AED,Transaction_Date,Payment_Mode,Agent_Involved,Registration_Type,Registration_Type_English,Acquisition_Type,Acquisition_Type_English,Emirates_ID,License_No,Phone_Number,Transaction_Quarter,Transaction_Year
2b48b8dd-79c8-4beb-8e37-27616aace27f,4bd9c1e9-d502-4519-afca-214345276388,968df249-5557-4df5-8b58-16d58acd8edc,Resident,شخص,ذكر,Russia,Buy,Apartment,Studio,Dubai South,1039,865683.0,2024-03-03,Cash,Yes,العقارات القائمة,Completed,ايجار حر,Leasehold,784-1106-3615-7,TRN-900581,055-2714803,1,2024
d093fe30-9d2e-42c8-a9f5-5b7d86e20fbe,0f148522-d48b-435a-87b0-38d50c595808,010c7980-3a4f-416b-bdcf-87b665446be0,Investor,شخص,أنثى,Saudi Arabia,Buy,Apartment,2BR,Downtown Dubai,1420,2850000.0,2022-12-18,Cash,No,العقارات القائمة,Completed,تملك حر,Freehold,784-4814-2654-7,,055-3728882,4,2022
7304b101-63b1-4b18-bb2a-8ae7a9e74e60,94018c41-4ab2-4249-af02-8a73d2f98c6c,20b5ba67-9f2e-469a-b830-3bba9341eb62,Investor,شخص,أنثى,India,Buy,Villa,,Downtown Dubai,6100,14500000.0,2022-06-15,Installments,No,العقارات القائمة,Completed,تملك حر,Freehold,,TRN-321231,059-6279418,2,2022
d98379b7-7624-41c2-a8ae-4e4441eb937f,e6b8d173-4313-4ca6-ac8c-16c5888631b2,2946b2a4-37ca-4f41-87f6-f606d8e8f6ca,Investor,جهة,أنثى,Spain,Buy,Villa,,Downtown Dubai,4071,10078498.0,2022-07-19,Cash,Yes,على الخارطة,Off-plan,تملك حر,Freehold,784-3621-7916-2,TRN-724834,057-9877065,3,2022
a433da00-ebf6-4184-84c0-a53df0bc64ca,ce21e25b-e63d-4d16-9c1f-506bae7c83a1,af6a16bf-ccb9-4598-a0de-cf24c0a8798d,Investor,جهة,ذكر,Singapore,Sell,Villa,,Downtown Dubai,5699,14136294.0,2022-09-10,Cash,No,على الخارطة,Off-plan,تملك حر,Freehold,784-5889-9317-4,TRN-899550,052-9897858,3,2022
d252673c-4fc5-487a-8b9b-dd5cf35311c9,1cadcf4b-1584-428f-aa54-203abd7967b6,417e0cea-c265-4a97-b4d1-98c67c92a8b2,Investor,شخص,ذكر,China,Buy,Apartment,2BR,JVC,1264,1175506.0,2025-04-03,Cash,Yes,العقارات القائمة,Completed,ايجار حر,Leasehold,784-7932-4470-9,TRN-847581,054-7693979,2,2025
f6012ce0-2050-4728-bcec-623871e5768b,1a53f15a-74a6-4c54-8d79-8ef698e5f9de,dda37f21-f5fb-423b-a3fb-3c2148970924,Investor,شخص,أنثى,UK,Buy,Apartment,3BR,JVC,1185,1385558.0,2023-03-23,Cash,No,على الخارطة,Off-plan,تملك حر,Freehold,784-8744-4981-8,TRN-201639,056-6944126,1,2023
1a35ffdf-3b99-451f-a036-4b43b3628896,75879b9e-1916-42cc-987d-487c56044ef6,15345096-4027-4067-a466-305429744906,Corporate,جهة,Non-specified,Italy,Buy,Apartment,Studio,Dubai Hills Estate,1050,1310170.0,2023-09-08,Cash,Yes,العقارات القائمة,Completed,ايجار حر,Leasehold,,TRN-997546,058-2642635,3,2023
e70e0685-59ed-4e82-8aa5-bbab1e1ba625,1f9b89cd-71f3-42e0-91bf-5507c6e1b531,b56d17e0-b84e-4e56-8451-91058e3cc023,Investor,شخص,أنثى,India,Buy,Apartment,2BR,Meydan City,1192,1891031.0,2024-11-07,Installments,Yes,العقارات القائمة,Completed,تملك حر,Freehold,784-8973-3536-4,,050-2022698,4,2024
784442f6-305a-40e1-a907-b21f3c5abc4b,67f4b953-17bc-4c58-b58a-fc701ff87032,07c8da61-3559-4bf2-89fb-03fd343bfa1b,Resident,شخص,ذكر,USA,Buy,Office,,Dubai Marina,3440,5053418.0,2020-06-20,Cash,No,العقارات القائمة,Completed,تملك حر,Freehold,784-6183-5272-4,TRN-378517,056-3195773,2,2020
24f09158-deca-4ab2-bce0-1e826e2bd7be,0219f62f-61c5-4850-aeba-9728ab91835a,f2ad102b-c186-4fd5-bd58-a9140858a177,Investor,شخص,ذكر,South Korea,Sell,Townhouse,,Downtown Dubai,2938,4000000.0,2024-03-18,Cash,No,على الخارطة,Off-plan,ايجار حر,Leasehold,784-9666-1128-9,,051-3253031,1,2024
0ebcc343-ad53-497a-9452-ad16118fd873,a3576002-b512-44bb-bd2e-612559705e22,b31aee15-9aa2-4518-ae53-4d06df7bed99,Corporate,جهة,Non-specified,UAE,Sell,Townhouse,,Dubai Marina,2577,4000000.0,2022-09-22,Cash,Yes,على الخارطة,Off-plan,ايجار حر,Leasehold,784-5533-1722-1,TRN-237174,054-3710895,3,2022
e11fc5fb-574a-4905-9dc3-bcf090ea75af,5b82061a-2eaa-481c-9ae9-89c2c75df829,82351565-9354-4ad0-a852-a0c4a4c33c48,Investor,شخص,أنثى,UK,Buy,Apartment,1BR,Downtown Dubai,1102,2818987.0,2024-07-18,Cash,Yes,على الخارطة,Off-plan,ايجار حر,Leasehold,784-2684-6794-9,TRN-750810,052-4971793,3,2024
f2bf57a8-6db7-4f11-b0e2-021b6b72bc9a,ffaeec4d-7286-472b-8175-b36594eccf6f,f44e8434-5312-4f12-a719-324eca70e649,Investor,جهة,ذكر,UK,Sell,Apartment,2BR,Dubai South,1290,1140679.0,2025-10-28,Cash,Yes,العقارات القائمة,Completed,تملك حر,Freehold,784-6728-6000-4,TRN-792094,053-7685149,4,2025
bff39a61-6fd8-4a8e-bb70-8a6f67057f38,e79b409c-a31a-4a73-af5b-fe6ec4a24995,5c25a609-f28f-4ada-aca2-ae613ef4c913,Resident,شخص,ذكر,Russia,Buy,Apartment,4BR,Business Bay,1499,2336430.0,2022-03-09,Installments,Yes,العقارات القائمة,Completed,تملك حر,Freehold,784-7311-4114-5,,056-1028374,1,2022
